word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
result,no_safe_variant,/rɪˈzʌlt/,,,us,us,0,2
grow,has_us_only_but_conflict,/ˈɡɹoʊ/,,/ˈɡɹoʊ/,uk,uk,2,1
within,has_uk_only_but_conflict,/wɪðˈɪn/,/wɪðˈɪn/,,us,us,3,2
history,no_safe_variant,/ˈhɪstəɹɪ/,,,us,us,0,2
person,has_us_only_but_conflict,/ˈpɝsən/,,/ˈpɝsən/,uk,uk,6,1
office,has_us_only_but_conflict,/ˈɔfɪs/,,/ˈɔfɪs/,uk,uk,4,1
read,has_uk_only_but_conflict,/ˈɹiːd/,/ɹiːd/,,us,uk|us,3,2
already,has_uk_only_but_conflict,/ɔːlɹˈɛdɪ/,/ɔːlˈɹɛdi/,,us,us,1,2
public,has_us_only_but_conflict,/ˈpʌblɪk/,,/ˈpʌblɪk/,uk,uk,8,1
anything,has_us_only_but_conflict,/ˈɛniˌθɪŋ/,,/ˈɛniˌθɪŋ/,uk,uk,8,1
face,has_us_only_but_conflict,/ˈfeɪs/,,/ˈfeɪs/,uk,uk,6,1
stop,has_us_only_but_conflict,/ˈstɑp/,,/ˈstɑp/,uk,uk,10,1
parent,has_us_only_but_conflict,/ˈpɛɹənt/,,/ˈpɛɹənt/,uk,uk,4,1
together,has_us_only_but_conflict,/təˈɡɛðɚ/,,/təˈɡɛðɚ/,uk,uk,8,1
watch,no_safe_variant,/ˈwɒtʃ/,,,uk|us,uk|us,4,2
whether,no_safe_variant,/ˈwɛðə/,,,us,us,0,2
lead,no_safe_variant,/ˈliːd/,,,us,us,0,2
information,has_uk_only_but_conflict,/ˌɪnfəmˈeɪʃən/,/ˌɪnfəˈmeɪʃn̩/,,us,us,1,2
body,has_us_only_but_conflict,/ˈbɑdi/,,/ˈbɑdi/,uk,uk,4,1
several,no_safe_variant,/ˈsɛvɹəl/,,,us,us,0,2
minute,no_safe_variant,/ˈmɪnɪt/,,,uk|us,uk|us,4,3
change,has_us_only_but_conflict,/ˈtʃeɪndʒ/,,/ˈtʃeɪndʒ/,uk,uk,6,1
president,has_uk_only_but_conflict,/ˈpɹɛzɪdənt/,/ˈpɹɛzɪdənt/,,us,us,4,2
white,no_safe_variant,/ˈwaɪt/,,,us,us,0,2
community,has_uk_only_but_conflict,/kəmjˈuːnɪtɪ/,/kəˈmjuːnɪti/,,us,us,1,2
almost,has_us_only_but_conflict,/ˈɔlˌmoʊst/,,/ˈɔlˌmoʊst/,uk,uk,4,1
city,has_us_only_but_conflict,/ˈsɪti/,,/ˈsɪti/,uk,uk,4,1
car,has_us_only_but_conflict,/ˈkɑɹ/,,/ˈkɑɹ/,uk,uk,4,1
law,has_uk_only_but_conflict,/ˈlɔː/,/lɔː/,,us,us,5,2
pay,has_us_only_but_conflict,/ˈpeɪ/,,/ˈpeɪ/,uk,uk,8,1
among,has_us_only_but_conflict,/əˈmʌŋ/,,/əˈmʌŋ/,uk,uk,4,1
political,has_uk_only_but_conflict,/pəlˈɪtɪkəl/,/pəˈlɪtɪkəl/,,us,us,2,2
often,no_safe_variant,/ˈɒfən/,,,uk|us,uk|us,8,2
hour,has_uk_only_but_conflict,/ˈaʊə/,/aʊə/,,us,us,1,2
until,has_us_only_but_conflict,/ənˈtɪl/,,/ənˈtɪl/,uk,uk,6,1
away,has_us_only_but_conflict,/əˈweɪ/,,/əˈweɪ/,uk,uk,10,1
important,has_us_only_but_conflict,/ˌɪmˈpɔɹtənt/,,/ˌɪmˈpɔɹtənt/,uk,uk,3,1
friend,has_us_only_but_conflict,/ˈfɹɛnd/,,/ˈfɹɛnd/,uk,uk,6,1
around,has_uk_only_but_conflict,/ɐɹˈaʊnd/,/əˈɹaʊnd/,,us,us,3,2
service,no_safe_variant,/ˈsɜːvɪs/,,,us,us,0,2
issue,has_us_only_but_conflict,/ˈɪʃu/,,/ˈɪʃu/,uk,uk,6,1
business,no_safe_variant,/ˈbɪznəs/,,,us,us,0,2
job,has_uk_only_but_conflict,/ˈdʒɒb/,/dʒɒb/,,us,us,4,2
lot,has_uk_only_but_conflict,/ˈlɒt/,/lɒt/,,us,us,2,2
different,no_safe_variant,/ˈdɪfɹənt/,,,uk|us,uk|us,6,2
young,has_us_only_but_conflict,/ˈjʌŋ/,,/ˈjʌŋ/,uk,uk,9,1
money,has_us_only_but_conflict,/ˈmʌni/,,/ˈmʌni/,uk,uk,4,1
national,no_safe_variant,/ˈnæʃənəl/,,,uk|us,uk|us,8,2
area,has_us_only_but_conflict,/ˈɛɹiə/,,/ˈɛɹiə/,uk,uk,3,1
mother,has_us_only_but_conflict,/ˈmʌðɚ/,,/ˈmʌðɚ/,uk,uk,8,1
write,has_us_only_but_conflict,/ˈɹaɪt/,,/ˈɹaɪt/,uk,uk,4,1
room,has_us_only_but_conflict,/ˈɹuːm/,,/ˈɹuːm/,uk,uk,20,1
water,has_us_only_but_conflict,/ˈwɔtɚ/,,/ˈwɔtɚ/,uk,uk,4,1
under,has_us_only_but_conflict,/ˈʌndɚ/,,/ˈʌndɚ/,uk,uk,8,1
before,has_uk_only_but_conflict,/bɪfˈɔː/,/bɪˈfɔː/,,us,us,4,2
without,no_safe_variant,/wɪðˈaʊt/,,,uk|us,uk|us,6,2
next,no_safe_variant,/ˈnɛkst/,,,us,us,0,2
today,no_safe_variant,/tədˈeɪ/,,,uk|us,uk|us,6,2
hold,has_us_only_but_conflict,/ˈhoʊld/,,/ˈhoʊld/,uk,uk,16,1
live,no_safe_variant,/ˈlaɪv/,,,us,us,0,2
always,no_safe_variant,/ˈɔːlweɪz/,,,uk|us,uk|us,6,2
off,has_us_only_but_conflict,/ˈɔf/,,/ˈɔf/,uk,uk,10,1
number,has_us_only_but_conflict,/ˈnʌmbɚ/,,/ˈnʌmbɚ/,uk,uk,6,1
run,has_us_only_but_conflict,/ˈɹʌn/,,/ˈɹʌn/,uk,uk,8,1
government,no_safe_variant,/ˈgʌvənmənt/,,,uk|us,uk|us,3,2
