word,syllables,actual_count,cmu_counts,category,phonetic
overstatement,over-state-ment,3,4,other,/ˈoʊvɚˌsteɪtmənt/
overtaxed,over-taxed,2,3,other,/ˌoʊvɚˈtækst/
overturned,over-turned,2,3,other,/ˈoʊvɚˌtɝnd/
pacifier,paci-fi-er,3,4,other,/ˈpæsəˌfaɪɚ/
paraguay,pa-ra-gua-y,4,3,other,/ˈpɛɹəˌɡweɪ/
parallelism,par-al-lel-ism,4,5,suffix_ism,/ˈpɛɹəˌlɛˌlɪzəm/
pariah,pari-ah,2,3,other,/pɚˈaɪə/
parochial,pa-roc-hial,3,4,other,/pɚˈoʊkiəl/
pastoralism,pas-to-ra-lism,4,5,suffix_ism,/ˈpæstɚəˌlɪzəm/
patriarchy,pa-tri-archy,3,4,other,/ˈpeɪtɹiˌɑɹki/
patriotism,pa-tri-o-tism,4,5,suffix_ism,/ˈpeɪtɹiəˌtɪzəm/
pcs,pcs,1,2,other,/ˈpiːˈsiːz/
pedestrian,pedes-tri-an,3,4,vowel_sequence_suffix,/pəˈdɛstɹiən/
pediatric,pe-di-atric,3,4,other,/ˌpiːdiˈætɹɪk/
pediatrics,pe-di-atrics,3,4,other,/ˌpiːdiˈætɹɪks/
pentium,pen-tium,2,3,vowel_sequence_suffix,/ˈpɛntiəm/
perennial,peren-ni-al,3,4,other,/pɚˈɛniəl/
peristyle,peri-style,2,3,other,/ˈpɛɹəˌstaɪl/
permeability,per-me-abil-i-ty,5,6,suffix_ity_ety,/pɚˌmiːəˈbɪlɪti/
permeable,per-me-able,3,4,suffix_able_ible,/ˈpɝˌmiːəbəl/
pessimism,pes-si-mism,3,4,suffix_ism,/ˈpɛsəˌmɪzəm/
pete,pe-te,2,1,other,/ˈpiːt/
philippines,philip-pines,2,3,other,/ˈfɪləˌpiːnz/
photoelectric,pho-to-elec-tric,4,5,other,/ˌfoʊtoʊɪˈlɛktɹɪk/
